SKU,Category,Description,Landed Cost
PAC4COVSLAWW,Spa Covers,Pacific Square 4 Person Spa Cover - Slate WW,1.76
PAC4COVNAVWW,Spa Covers,Pacific Square 4 Person Spa Cover Navy,12.77
PAC6COVSLAWW,Spa Covers,Pacific Square 6 Person Spa Cover - Slate WW,1.84
PAC6COVSAGWW,Spa Covers,Pacific Square 6 Person Spa Cover Sage Green,19.0
GA4FLIFBWW,Foam Base,4 Person Square Garda Floor Insulation Foam Base WW,1.99
PAC4DIBODGRATUK,Spa Body,4P Square Pacific DI Spa Body - Grey Rattan UK,6.9
PAC4DIBODNAVUK,Spa Body,4P Square Pacific DI Spa Body - Navy UK,6.6
CO6FLIFBWW,Foam Base,6 Person Octagon Como Floor Insulation Foam Base WW,1.65
TA6FLIFBWW,Foam Base,6 Person Round Tahoe Floor Insulation Foam Base WW,2.64
GA6FLIFBWW,Foam Base,6 Person Square Garda Floor Insulation Foam Base WW,2.01
5054487648243,Bubble Mat,Atlantic Spa Bubble Mat Liner (Blue 100Gsm)-Discountinue,1.46
INFSPAPIPCLAWW,Pipe Clamp,Inflatable Spa Pipe Clamp WW,0.01
5054487648496,Bubble Mat,Pacific Spa Bubble Mat Liner (Blue 100Gsm),2.1
REPKITSLAWW,Spa Repair Kit,Repair Kit - Slate WW,0.02
2PAV24WW,Spa Air Valve,Two-Part Air Valves WW,0.02
5061091485034,Phone Covers,Wave Waterproof Phone Case Red,0.81
SLFIN3CNVWW,Fins,"Slot Fin with Clip for 3.0 Cruiser, Navigator, Voyager",0.73
QRFN3TRNBWW,Fins,"Quick Release Fin for 3.0 Tourer, Recon, Navigator, Venturer, Trailblazer",2.18
QRLWBLT3WW,Leash,Quick Release Waist Leash Belt 3.0,2.98
5060959546962,Leash,Non-Coiled Ankle Leash (discontinued),3.6
BKPK1CWW,Backpack,Wave BackPack 1 Cruiser 3.0,6.45
BKPK2TWSRWW,Backpack,"Wave BackPack 2 Tourer, Woody, Surf, Recon 3.0",6.85
SUNIRPKITWW,Sup Accessories,"Wave SUP Universal Repair Kit NAVY, AQUA, KHAKI, RED, BLACK",0.78
PMP3TBLKWW,Foot Pump,Wave Black Pump 3 Triple Action,15.89
KAYAKREPKFS,Repair Kit,FS Kayak Repair Kit,0.02
SUPLPFIN,Fins,Low Profile Fin - Compatible With 2.0 Model Sups,0.73
EXNASEAT2,Seat,Kayak Seat 2.0,4.53
5060959545750,Paddles,Wave Kayak Double Paddle,7.32
5060959540441,Paddles,SP. 00683 Wave Kids Kayak Paddle (4Pcs)-Navy,6.03
5060959540090,Seat,SP. 00644  Wave Kayak Seat - Black,6.75
5054487758416,Pump Hose,Wave Tourer Pump Hose A,1.52
AIRV3WSPWW,Air Valve,"Air Valve For 3.0 Woody, Surf, Pro",0.82
EXNAKBOH2,Bottle Holder,Bottle Holder,0.38
5054487760204,Fins,Fin Clip - Navy,0.08
KYKEXPKIT,Expansion Pack,Kayak Expansion Kit,15.94
EXNAKFTR2,Foot Rest,Kayak Foot Rest 2.0,2.14
PRESGAUGEFS,Pressure Gauge,Pressure Gauge,0.06
QRFIN3WSPW,Fins,"Quick Release Fin For 3.0 Woody, Surf, Pro",1.98
SQRFIN3PROWW,Fins,Small Quick Release Fin For 3.0 Pro Only,1.03
5060959540540,Fins,SP. 00693 Wave Pro Fin'S Clip,0.08
5060959547068,Bungees,SP. 00936 WW Wave Crusier Bungee Cord White,0.33
5060959547075,Repair Kit,SP. 00937 WW Wave Cruiser Repair Kit,0.67
5060959547181,Bungees,SP. 00948 WW Wave Tourer Bungee Webbing Set - Aqua,0.04
5060959547198,Bungees,SP. 00949 WW Wave Tourer Bungee Webbing Set - Navy,0.03
EXNAKSTF2,Fins,Standard Kayak Fin,1.35
SUPPADDCLIP,Paddles,Sup Paddle Clip,0.17
5060959546689,Backpack,Wave Cruiser Sup Backpack Navy,0.75
5060959545835,Fins,Wave Kayak Fin/Skeg,2.0
5060959545767,Seat,Wave Kayak Foam Seat,3.81
5060959545880,Foot Pump,Wave Kayak Foot Pump,4.77
5060959545781,Repair Kit,Wave Navigator Kayak Repair Kit (Drop Stitch),0.65
5060959545842,Dry Bags,Wave Roamer 2/1 Bag (Pvc),10.85
5060959545774,Repair Kit,Wave Roamer Kayak Repair Kit (Pvc),0.52
5061091484266,Backpack,Wave Tourer Sup Backpack Black,0.81
5060959540281,Backpack,Wave Tourer Sup Backpack Black Without Logo,2.09
5054487757792,Leash,Wave Tourer Sup Board Leash Black Without Logo B,2.65
5060959545798,Repair Kit,Wave Voyager Kayak Repair Kit (Oxford Cloth),0.65
5054487757822,Repair Kit,WW Wave Sup Repair Kit (Navy),0.34
5054487757839,Repair Kit,WW Wave Sup Repair Kit (Orange) B,0.43
NAVBOD321,Kayak Body,Navigator 3.0 2 Person Drop Stitch Kayak Body,17.86
NAVBOD332,Kayak Body,Navigator 3.0 3 Person Drop Stitch Kayak Body,16.89
EXPBOD221,Kayak Body,Roamer 2.0 2/1 Person Pvc Chamber Kayak Body,10.34
EXPBOD232,Kayak Body,Roamer 2.0 3/2 Person Pvc Chamber Kayak Body,11.23
EXNAKVAL2,Air Valve,Valves,0.11
5060959545804,Inflatable Bladder,Wave Voyager 2/1 Left Inflatable Bladder,14.5
5060959545811,Inflatable Bladder,Wave Voyager 2/1 Right Inflatable Bladder,14.5
HYDPADP2BLKWW,Paddles,Hydro Paddle P2 Tourer,5.32
EXNAKDSP2,Paddles,White Double Sided Paddle,4.01
5061091486147,Paddles,Wave Kayak Double Paddle Black,7.1
PDL2TWSRBWW,Paddles,"Wave Black Paddle 2 Tourer, Woody, Surf Adult, Recon",5.27
PDL4KIDBLK,Paddles,Wave Black Paddle 4 Kids,4.29
PDL3PBLKWW,Paddles,Wave Black Paddle 3 Fibreglass Nylon PRO,9.11
PDL1CBLKWW,Paddles,Wave Black Paddle 1 Cruiser,4.11
PDL1VBLKWW,Paddles,Wave Black Paddle 1 Venturer,5.33
WF2024INTHEATUK,Spa Spare Parts,Wave Filter for 2024 Integrated Heater Spa UK,0.09
UINTHEAT25UK,Spa Spare Parts,Wave DI Integrated Heater Full Unit For 2025 Spas UK,2.44
INTHEACASBKUK,Spa Spare Parts,Integrated Heater Casing (Back) UK,1.51
INTHEACASFRUK,Spa Spare Parts,Integrated Heater Casing (Front),1.45
BLOW24WW,Spa Spare Parts,Wave Blower For 2024 External Heater,0.14
FLCAINTHEATUK,Spa Spare Parts,Flex cable for Integrated Heater UK,0.16
HEATCOM24UK,Spa Spare Parts,Wave Heater Component For 2024 Spas,0.21
ORINGINTHEATWW,Spa Spare Parts,Integrated heater O-ring (one set) WW,0.03
ROT24WW,Spa Spare Parts,Wave Rotor 2024 Heater WW,0.01
TRANFIL24WW,Spa Spare Parts,Wave Transformer And Filter For 2024 External Heater Spa,0.23
WB2024FINTHEATUK,Spa Spare Parts,Foam Wave Blower For 2024 Foam Integrater Heater UK,0.17
WB2024IINTHEATUK,Spa Spare Parts,Inflatable Wave Blower For 2024 Integrater Heater UK,0.14
WT2024INTHEATUK,Spa Spare Parts,Wave Transformer For 2024 Intergrated Heater Spa UK,0.15
EXTHEAT25UK,Spa Spare Parts,2025 External Heater UK,32.33
ADR6HTCNWW,Spa Spare Parts,Adriatic 6P Square Frame Spa Heater Connectors,1.52
0201150KTBC,Spa Spare Parts,Internal Heater Carton box with double wall 580x330x350mm -customised version,1.65
GASKETCOM24WW,Spa Spares,Inner Liner Gasket Component,0.01
24CLIPWW,Spa Spares,Clip (male) For 2024 Spas Cover And Liner UK,0.08
COM6ILBLWW,Spa Liner,6P Octagon Como DI Blue Inner Liner WW,4.1
GAR4ILBLWW,Spa Spares,4P Square Garda DI Blue Inner Liner WW,1.5
TAH4ILBLWW,Spa Spares,4P Round Tahoe DI Blue Inner Liner WW,19.85
TAH6ILBLWW,Spa Spares,6P Round Tahoe DI Blue Inner Liner WW,3.15
24GA6MBILUK,Spa Spares,6 Person Square Garda Metallic Blue Inner Liner UK 24,32.17
24GAR4ILBLUK,Spa Spares,4 Person Square Garda Metallic Blue Inner Liner UK 24,30.38
24TAH4ILBLUK,Spa Spares,4 Person Round Tahoe Metallic Blue Inner Liner UK 24,41.09
ADR6INLNRWW,Frame Spa Spares,Adriatic 6P Square Frame Spa Inner Liner,20.65
PAC4DIBODDGRYUK,Spa Liner,4P Square Pacific DI Spa Body - Dark Grey UK,3.45
ATL6DIBODGRATUK,Spa Liner,6P Round Atlantic DI Spa Body - Grey Rattan UK,26.96
ATL4DIBODDGRYUK,Spa Liner,4P Round Atlantic DI Spa Body - Dark Grey UK,6.82
AEG6DIBODDGRYUK,Spa Body,6P Octagonal Aegean DI Spa Body - Dark Grey UK,7.26
AEG6DIBODNAVYUK,Spa Body,6P Octagonal Aegean DI Spa Body - Navy UK,7.26
ATL6DIBODNAVUK,Spa Body,6P Round Atlantic DI Spa Body - Navy UK,20.6
PAC6DIBODDGRYUK,Spa Body,6P Square Pacific DI Spa Body - Dark Grey UK,24.66
PAC6DIBODGRATUK,Spa Body,6P Square Pacific DI Spa Body - Grey Rattan UK,24.04
PAC6DIBODNAVUK,Spa Body,6P Square Pacific DI Spa Body - Navy UK,31.02
ATL6BODBRRTUK,Spa Body,Atlantic Round 6 Person Body - Brown Rattan UK,44.09
ATL6BODSLAUK,Spa Body,Atlantic Round 6 Person DI Body - Slate UK,22.15
PAC4BODBRRTUK,Spa Body,Pacific Square 4 Person Body - Brown Rattan UK,41.74
PAC4BODSLAUK,Spa Body,Pacific Square 4 Person DI Body - Slate UK,27.12
PAC6BODBRRTUK,Spa Body,Pacific Square 6 Person Body - Brown Rattan UK,50.37
PAC6BODSLAUK,Spa Body,Pacific Square 6 Person DI Body - Slate UK,22.06
TA4FLIFBWW,Spa Spares,4 Person Round Tahoe Floor Insulation Foam Base WW,2.28
GA6PAW4WW,Spa Spares,6 Person Square Garda Foam Panel W4,14.75
ADR6WDPNLWW,Spa Spares,Adriatic 6P Square Frame Spa Alu Panel Assembly,4.53
ADR6CNCVRWW,Spa Spares,Adriatic 6P Square Frame Spa Connectors Cover,1.76
ADR6CRALUWW,Spa Spares,Adriatic 6P Square Frame Spa Corner Black Rubber,4.26
ADR6FLFMWW,Spa Spares,Adriatic 6P Square Frame Spa Floor Foam,4.93
ADR6DSLIDWW,Spa Spares,Adriatic 6P Square Frame Spa Inflatable Dropstitch Lid,17.29
ADR6W1WW,Spa Spares,Adriatic 6P Square Frame Spa Panel Foam W1,2.87
ADR6W2WW,Spa Spares,Adriatic 6P Square Frame Spa Panel Foam W2,3.64
ADR6TLKITWW,Spa Spares,Adriatic 6P Square Frame Spa Toolkit,2.07
ADR6TPALUWW,Spa Spares,Adriatic 6P Square Frame Spa Top Black Plastic Profile,1.98
ADR6RUBCNWW,Spa Spares,Adriatic Square Frame Spa Rubber Corner,3.0
FLXCACLAMPWW,Spa Spares,Clamp For Main Flex Cable WW,0.03
EARTHBARWW,Spa Spares,Earth Bar WW,0.03
FILHOUFPUK,Spa Spares,Filtration Housing Face Plate UK,0.02
HP00324UK,Spa Spares,Heater Circuit Board,0.04
THERMRSBUT24WW,Spa Spares,Thermostat Reset Button,0.03
SPATHRRINGBLOUTWW,Spa Spares,Threaded Ring For The Blower Outlet WW,0.32
TA4PAW1WW,Spa Spares,Wave 4 Person Round Tahoe Foam Panel W1,14.1
TA4PAW2WW,Spa Spares,Wave 4 Person Round Tahoe Foam Panel W2,15.42
TA4PAW3WW,Spa Spares,Wave 4 Person Round Tahoe Foam Panel W3,14.26
TA4PAW4WW,Spa Spares,Wave 4 Person Round Tahoe Foam Panel W4,15.36
GA4PAW1WW,Spa Spares,Wave 4 Person Square Garda Foam Panel W1,6.24
GA4PAW2WW,Spa Spares,Wave 4 Person Square Garda Foam Panel W2,9.65
GA4PAW3WW,Spa Spares,Wave 4 Person Square Garda Foam Panel W3,11.68
GA4PAW4WW,Spa Spares,Wave 4 Person Square Garda Foam Panel W4,10.54
COM6PAW1WW,Spa Spares,Wave 6 Person Octagon Como Foam Panel W1,6.86
COM6PAW2WW,Spa Spares,Wave 6 Person Octagon Como Foam Panel W2,7.26
COM6PAW3WW,Spa Spares,Wave 6 Person Octagon Como Foam Panel W3,6.01
COM6PAW4WW,Spa Spares,Wave 6 Person Octagon Como Foam Panel W4,6.73
TA6PAW1WW,Spa Spares,Wave 6 Person Round Tahoe Foam Panel W1,10.61
TA6PAW2WW,Spa Spares,Wave 6 Person Round Tahoe Foam Panel W2,10.99
TA6PAW3WW,Spa Spares,Wave 6 Person Round Tahoe Foam Panel W3,10.41
TA6PAW4WW,Spa Spares,Wave 6 Person Round Tahoe Foam Panel W4,10.64
GA6PAW1WW,Spa Spares,Wave 6 Person Square Garda Foam Panel W1,14.19
GA6PAW2WW,Spa Spares,Wave 6 Person Square Garda Foam Panel W2,14.47
GA6PAW3WW,Spa Spares,Wave 6 Person Square Garda Foam Panel W3,15.24
GA6STPOWW,Spa Spares,Wave Standard Pole For 2024 6 Person Spas WW,1.83
PLUG24UK,Spa Spares,Wave UK Plug,0.1
COM6SLDLSUK-CH,Liner Sets,6 Person Octagonal Como Charcoal LD Liner Set UK,8.88
COM6SLDLSUK-FL,Liner Sets,6 Person Octagonal Como Flint LD Liner Set UK,48.16
COM6SLDLSUK-GR,Liner Sets,6 Person Octagonal Como Graphite LD Liner Set UK,53.08
COM6SLDLSUK-PB,Liner Sets,6 Person Octagonal Como Pebble LD Liner Set UK,82.33
COM6SPALSUK-CH,Liner Sets,6 Person Octagonal Como Charcoal Liner Set UK,82.69
COM6SPALSUK-FL,Liner Sets,6 Person Octagonal Como Flint Liner Set UK,90.21
COM6SPALSUK-GR,Liner Sets,6 Person Octagonal Como Graphite Liner Set UK,90.21
COM6SPALSUK-PB,Liner Sets,6 Person Octagonal Como Pebble Liner Set UK,89.51
GAR4SLDLSUK-CH,Liner Sets,4 Person Square Garda LD Liner Set Charcoal UK,26.51
GAR4SLDLSUK-FL,Liner Sets,4 Person Square Garda LD Liner Set Flint UK,26.51
GAR4SLDLSUK-GR,Liner Sets,4 Person Square Garda LD Liner Set Graphite UK,54.19
GAR4SLDLSUK-PB,Liner Sets,4 Person Square Garda LD Liner Set Pebble UK,70.66
GAR4SPALSUK-CH,Liner Sets,4 Person Square Garda Liner Set Charcoal UK,73.47
GAR4SPALSUK-FL,Liner Sets,4 Person Square Garda Liner Set Flint UK,75.16
GAR4SPALSUK-GR,Liner Sets,4 Person Square Garda Liner Set Graphite UK,73.47
GAR4SPALSUK-PB,Liner Sets,4 Person Square Garda Liner Set Pebble UK,75.16
GAR6SLDLSUK-FL,Liner Sets,6 Person Square Garda LD Liner Set Flint UK,68.36
GAR6SLDLSUK-GR,Liner Sets,6 Person Square Garda LD Liner Set Graphite UK,68.36
GAR6SLDLSUK-PB,Liner Sets,6 Person Square Garda LD Liner Set Pebble UK,68.36
GAR6SPALSUK-CH,Liner Sets,6 Person Square Garda Liner Set Charcoal UK,75.75
GAR6SPALSUK-FL,Liner Sets,6 Person Square Garda Liner Set Flint UK,75.75
GAR6SPALSUK-GR,Liner Sets,6 Person Square Garda Liner Set Graphite UK,75.75
GAR6SPALSUK-PB,Liner Sets,6 Person Square Garda Liner Set Pebble UK,75.75
TAH4SLDLSUK-CH,Liner Sets,4 Person Round Tahoe Charcoal LD Liner Set UK,4.07
TAH4SLDLSUK-FL,Liner Sets,4 Person Round Tahoe Flint LD Liner Set UK,45.27
TAH4SLDLSUK-GR,Liner Sets,4 Person Round Tahoe Graphite LD Liner Set UK,61.75
TAH4SLDLSUK-PB,Liner Sets,4 Person Round Tahoe Pebble LD Liner Set UK,45.27
TAH4SPALSUK-CH,Liner Sets,4 Person Round Tahoe Charcoal Liner Set UK,66.94
TAH4SPALSUK-FL,Liner Sets,4 Person Round Tahoe Flint Liner Set UK,68.15
TAH4SPALSUK-GR,Liner Sets,4 Person Round Tahoe Graphite Liner Set UK,68.15
TAH4SPALSUK-PB,Liner Sets,4 Person Round Tahoe Pebble Liner Set UK,68.15
TAH6SLDLSUK-CH,Liner Sets,6 Person Round Tahoe Charcoal LD Liner Set UK,70.64
TAH6SLDLSUK-FL,Liner Sets,6 Person Round Tahoe Flint LD Liner Set UK,54.33
TAH6SLDLSUK-GR,Liner Sets,6 Person Round Tahoe Graphite LD Liner Set UK,66.65
TAH6SLDLSUK-PB,Liner Sets,6 Person Round Tahoe Pebble LD Liner Set UK,66.8
TAH6SPALSUK-CH,Liner Sets,6 Person Round Tahoe Charcoal Liner Set UK,73.47
TAH6SPALSUK-FL,Liner Sets,6 Person Round Tahoe Flint Liner Set UK,73.47
TAH6SPALSUK-GR,Liner Sets,6 Person Round Tahoe Graphite Liner Set UK,73.47
TAH6SPALSUK-PB,Liner Sets,6 Person Round Tahoe Pebble Liner Set UK,73.47
5054487648168,Chemicals/Starter Kit,SP. 00138 50Pcs 3 In 1 Hot Tub Test Strips,3.47
5054487582288,Chemicals/Starter Kit,Hot Tub Ph Reducer 1L,2.08
HTSTARTKIT1KG,Chemicals/Starter Kit,Starter Kit,7.89
5060149807026,Chemicals/Starter Kit,Hot Tub Scent Soothing Tea Tree 500G,3.3
5060149801291,Chemicals/Starter Kit,Hot Tub Multi Functional Tablets 1Kg 2026,5.6
GAR4SBUK-CH-A,Packaging,4 Person Square Garda Charcoal UK - Spare Box 1,1.45
FRAGSTIC,Packaging,Fragile Stickers,3.82
PAS204,Packaging,Paper Bag 420X215X805,0.54
VOIDFILLUK,Packaging,Speedman Void Paper Filler,22.66
CDW241818MREV1,Packaging,Carton Boxes For Jilong Heater 610x457x457,1.05
PR3126WWSB,Packaging,12'6 Wave Pro 3.0 Sup Board Spare box,9.51
CDW210X300X600,Packaging,210X300X600mm Heater Box,2.69
WD3109WWSB,Packaging,10'9 Wave Woody 3.0 Sup Board Spare Box,7.32
SF386WWSB,Packaging,8'6 Wave Surf 3.0 Spare Box,6.96
