SKU,Category,Description,Last 4 Weeks Avg ROS,Budget Wkly Fwd ROS,Budget 4 Wks Fwd ROS,Stock,Retail (inc vat £),Landed Cost,Stockholding Value,Flat Cvr,Pre-Order Qty,Fwd Cvr (excluding goods on water),Good On Water,Flat Cover (inc Goods on Water),Fwd Cover (inc Goods on Water),No. Pre-Order Wks - Current ROS,No. Pre-Order Wks - Fwd ROS,PL's Approved,Units Called Off - Awaiting Confirmation,Open PO's,Balance Open PO's,Additional POS raised LW,Comments,Marketing Comments,,ON AMAZON UK FBA?,Sellable,Shopify,Amazon,Ebay,B&Q,Debenhams,Decathlon,MW,Tesco,Vente Unique,The Range,Wilko,Wayfair,Rackhams
5060959546733,SUPs,10'3 Wave Tourer Sup Board Aqua,1,1,,0,,£76.43,£0.00,0.0,,0.0,0,0.0,0.0,8,8,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5060959546665,SUPs,10'9 Wave Cruiser Sup Board White,2,1,,0,,£73.39,£0.00,0.0,,0.0,0,0.0,0.0,8,8,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5060959546658,SUPs,10'9 Wave Cruiser Sup Board Aqua,4,2,,0,,£56.44,£0.00,0.0,,0.0,0,0.0,0.0,8,8,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5060959546641,SUPs,10'9 Wave Cruiser Sup Board Navy,7,3,,0,,£72.60,£0.00,0.0,,0.0,0,0.0,0.0,8,8,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5060959540427,SUPs,SP. 00681 Wave Wildcat Sup -Navy,7,2,,0,,£0.00,£0.00,0.0,,0.0,0,0.0,0.0,8,8,0,0,0,0,,,,,,✓,✓,✓,X,X,✓,X,X,X,X,X,X,X,X
5054487756399,SUPs,10' Wave Cruiser Sup Board Orange,0,,,1,,£0.00,£0.00,1.0,,1.0,0,1.0,1.0,7,7,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487756757,SUPs,10' Wave Pro Sup Board Navy,0,,,2,,£117.09,£234.18,2.0,,2.0,0,2.0,2.0,6,6,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487654244,SUPs,10' Wave Tourer Sup Board Aqua A,0,,,4,,£120.25,£481.00,4.0,,4.0,0,4.0,4.0,4,4,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487654268,SUPs,10' Wave Tourer Sup Board Navy,0,,,1,,£0.00,£0.00,1.0,,1.0,0,1.0,1.0,7,7,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487654220,SUPs,10' Wave Tourer Sup Board Orange A,0,,,1,,£87.06,£87.06,1.0,,1.0,0,1.0,1.0,7,7,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487756931,SUPs,10' Wave Woody Sup Board Aqua,0,,,1,,£93.97,£93.97,1.0,,1.0,0,1.0,1.0,7,7,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487756993,SUPs,10' Wave Woody Sup Board Navy,0,,,1,,£79.44,£79.44,1.0,,1.0,0,1.0,1.0,7,7,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487756429,SUPs,11' Wave Cruiser Sup Board Orange,0,,,1,,£103.56,£103.56,1.0,,1.0,0,1.0,1.0,7,7,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487756726,SUPs,11' Wave Pro Sup Board Aqua,0,,,1,,£81.41,£81.41,1.0,,1.0,0,1.0,1.0,7,7,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487756788,SUPs,11' Wave Pro Sup Board Navy,0,,,1,,£118.20,£118.20,1.0,,1.0,0,1.0,1.0,7,7,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487756962,SUPs,11' Wave Woody Sup Board Aqua,0,,,2,,£84.54,£169.08,2.0,,2.0,0,2.0,2.0,6,6,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487529030,SUPs,Pathfinder 11' Orange,0,,,1,,£0.00,£0.00,1.0,,1.0,0,1.0,1.0,7,7,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487647222,SUPs,Pathfinder 9'6'' Aqua,0,,,1,,£92.08,£92.08,1.0,,1.0,0,1.0,1.0,7,7,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
TRLED103WHIWW,SUPs,10'3 Wave Tourer LED 3.0 Sup Board White,0,,,10,,£99.24,£992.37,10.0,,10.0,0,10.0,10.0,,,0,0,0,0,,,not listed yet ,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
,,SUP Total,534,352,"1,345","2,268",,,,4.2,30,6.4,"3,384",10.5,16.0,,,355,71,"3,887",77,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
VEN12WW,Canoe,1-2 Person Canoe,7,5,22,42,,£175.90,"£7,387.88",6.0,,7.7,50,13.1,16.9,,,0,0,77,27,,,Disocunts added,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
VEN23WW,Canoe,2/3 Person Canoe,2,4,16,34,,£219.22,"£7,453.53",19.4,,8.3,50,48.0,20.5,,,0,0,50,0,,,,,,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
,,Canoe Total,9,10,38,76,,,,9,0,8,100,20,18,,,0,0,127,27,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2PKFILSS24WW,Filters,2Pk Filter,118,110,440,"1,839",,£1.76,"£3,244.07",15.7,,16.7,0,15.7,16.7,,,192,0,3360,"3,168",,,,,YES,✓,✓,✓,X,✓,✓,X,X,X,X,X,X,X,X
4PKFILSS24WW,Filters,4Pk Filter,100,29,117,0,,£3.69,£0.00,0.0,29,0.0,0,-0.3,-1.0,8,8,0,0,768,768,,,,,,✓,✓,✓,X,✓,✓,X,X,X,X,X,X,X,X
8PKFILSS24WW,Filters,8Pk Filter,50,39,156,0,,£7.06,£0.00,0.0,25,0.0,0,-0.5,-0.6,8,8,0,0,500,500,,,,,,✓,✓,✓,X,✓,✓,X,X,X,X,X,X,X,X
16PKFILSS24WW,Filters,16Pk Filter,80,49,195,34,,£13.14,£446.86,0.4,,0.7,312,4.4,7.1,4,,0,0,412,100,,,,,YES,✓,✓,✓,X,✓,✓,X,X,X,X,X,X,X,X
5054487614446,Filters,8Pk Filter (For Models From 2020),8,,0,59,,£0.00,£0.00,7.6,,59.0,,7.6,59.0,,,0,0,,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
5054487614439,Filters,4Pk Filter (For Models From 2020),588,,,"10,244",,£0.00,£0.00,17.4,,10244.0,,17.4,10244.0,,,0,0,,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
5054487649523,Filters,2Pk Filter (For Models From 2020) Old,0,,,14,,£2.05,£28.70,14.0,,14.0,,14.0,14.0,,,0,0,,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",,,YES,✓,✓,X,✓,✓,✓,X,X,X,X,X,X,X,X
5054487614422,Filters,2Pk Filter (For Models From 2020),8,,,"23,556",,£2.05,"£48,289.80",3039.5,,23556.0,,3039.5,23556.0,,,0,0,,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",,,YES,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
5054487614453,Filters,16Pk Filter (For Models From 2020),4,,,32,,£0.00,£0.00,7.5,,32.0,,7.5,32.0,,,0,0,,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",,,YES,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
5054487525926,Filters,2Pk Filter (For Models Before 2020),4,,,0,,£0.00,£0.00,0.0,,0.0,,0.0,0.0,,,0,0,,0,,Current SKU ,,,YES,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487650635,Filters,2Pk Filter (For Models Release Before 2020),0,,,45,,£2.81,£126.45,45.0,,45.0,,45.0,45.0,,,0,0,,0,,Current SKU ,,,YES,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487525940,Filters,8Pk Filter (For Models Before 2020),0,,,1,,£0.00,£0.00,1.0,,1.0,,1.0,1.0,,,0,0,,0,,Current SKU ,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
,,Filter Total,959,227,713,"35,824",,,,37,54,158,312,38,159,,,192,0,"5,040","4,536",0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COM6EPSCVRWW,EPS Foam Spa Cover,EPS Foam Spa Cover Como 6 - Black,0,3,11,0,,£95.74,£0.00,0.0,0,0.0,0,0.0,0.0,,,72,0,74,2,,Replen purchased - Add pre-orders once vessel confirmed,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
GAR4EPSCVRWW,EPS Foam Spa Cover,EPS Foam Spa Cover Garda 4 - Black,0,1,3,0,,£63.06,£0.00,0.0,1,0.0,0,-4.0,-1.4,,,20,0,22,2,,,,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
GAR6EPSCVRWW,EPS Foam Spa Cover,EPS Foam Spa Cover Garda 6 - Black,0,2,6,0,,£78.61,£0.00,0.0,3,0.0,0,-12.0,-1.9,,,72,0,74,2,,,,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
TAH4EPSCVRWW,EPS Foam Spa Cover,EPS Foam Spa Cover Tahoe 4 - Black,1,1,3,0,,£60.45,£0.00,0.0,0,0.0,0,0.0,0.0,,,15,0,17,2,,,,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
TAH6EPSCVRWW,EPS Foam Spa Cover,EPS Foam Spa Cover Tahoe 6 - Black,1,1,2,0,,£81.88,£0.00,0.0,0,0.0,0,0.0,0.0,,,10,0,12,2,,,,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
,,EPS Cover Total,2,6,26,0,,,,0,4,0,0,-2,-1,,,189,0,199,10,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5060959543312,Foam Mats,Wave Large Square Foam Mats (49 Pieces),76,75,300,390,,£7.84,"£3,058.19",5.1,,5.2,0,5.1,5.2,3,3,0,0,500,500,,,,,,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X
5060959543329,Foam Mats,Wave Large Round Foam Mats (16 Pieces),17,15,59,372,,£10.89,"£4,051.31",22.5,,25.4,0,22.5,25.4,,,0,0,0,,,Promo Collection. ,,,YES,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X
5060959543336,Foam Mats,Wave Small Round Foam Mats (9 Pieces),11,19,75,498,,£9.91,"£4,935.61",44.3,,26.4,0,44.3,26.4,,,0,0,0,,,Promo Collection. ,,,YES,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X
SMASQUMAT9PCS,Foam Mats,Wave Small Square Foam Mats (9 Pieces),31,10,41,340,,£9.50,"£3,229.51",10.9,,33.3,0,10.9,33.3,,,0,0,0,,,Promo Collection. ,,,YES,✓,✓,X,✓,✓,X,X,X,X,X,X,X,X,X
,,Filter Total,135,119,475,"1,600",,,,12,0,13,0,12,13,,,0,0,500,500,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ANTDSBLAWW,Ice Therapy,Dropstitch Ice Bath - Black,3,0,1,5,,£148.67,£743.34,2.0,,17.3,0,2.0,17.3,6,,0,0,0,0,,Promo Collection. ,,,YES,✓,✓,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X
IBCHILLUK,Ice Therapy,Chiller,0,0,0,0,,£470.00,£0.00,0.0,0,0.0,0,0.0,0.0,,,0,0,0,0,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,,Ice Therapy Total,3,0,1,5,,,,2,0,17,0,2,17,,,0,0,0,0,0,,,,,,,,,,,,,X,X,X,X,X,X
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X
AEG6INTCVR,Inflatable Covers,Aegean 6 Inflatable Cover,13,10,40,27,,£8.36,£225.72,2.0,,2.7,0,2.0,2.7,6,5,0,0,150,150,,,,,,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X
ATL4INTCVR,Inflatable Covers,Atlantic 4 Spa Inflatable Cover,8,1,4,0,,£7.29,£0.00,0.0,0,0.0,0,0.0,0.0,8,8,0,100,100,0,,,,,YES,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X
ATL6INTCVR,Inflatable Covers,Atlantic 6 Spa Inflatable Cover,14,10,39,74,,£7.75,£573.50,5.5,,7.6,0,5.5,7.6,3,,0,50,100,50,,Promo Collection. Remove,,,YES,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X
5054487648267,Inflatable Covers,Pacific 4 Spa Inflatable Cover,8,12,49,923,,£8.42,"£7,771.66",111.9,,75.9,0,111.9,75.9,,,0,0,3123,"3,123",,Promo Collection. ,,,YES,✓,✓,X,✓,✓,✓,X,X,X,X,X,X,X,X
PAC6INTCVR,Inflatable Covers,Pacific 6 Spa Inflatable Cover,10,9,38,271,,£7.56,"£2,048.76",26.4,,28.8,0,26.4,28.8,,,0,0,80,80,,Promo Collection. ,,,YES,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X
5054487648274,Inflatable Covers,Atlantic Plus Spa Inflatable Cover,0,,,281,,£12.53,"£3,520.93",,,,0,,,8,8,0,0,10,10,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487648281,Inflatable Covers,Atlantic Spa Inflatable Cover,0,,,4,,£7.63,£30.52,,,,0,,,8,8,0,0,364,364,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
,,Inflatable Covers Total,32,42,125,"1,580",,,,49,0,37,0,49,37,,,0,150,"3,927","3,777",0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
INFFSETGRYUK,Inflatable Furniture,Inflatable Furniture Set Grey,0,0,0,0,,£105.20,£0.00,0.0,0,0.0,0,0.0,0.0,,,0,0,0,0,,Discontinued,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
INFFSETNAVUK,Inflatable Furniture,Inflatable Furniture Set Navy,0,0,0,0,,£105.20,£0.00,0.0,0,0.0,0,0.0,0.0,,,0,0,0,0,,Discontinued,,,YES,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
,,Inflatable Furniture Total,1,0,0,0,,,,0,0,0,0,0,0,,,0,150,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AEG6TCVBLKWW,Thermal Covers,Aegean 6 Thermal Cover,11,7,29,77,,£20.52,"£1,580.13",7.2,,10.7,0,7.2,10.7,,,42,50,143,51,,,,,YES,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
ATL4TCVBLKWW,Thermal Covers,Atlantic 4 Thermal Cover,5,5,21,90,,£19.98,"£1,798.65",17.1,,17.4,0,17.1,17.4,,,0,50,311,261,,,,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
ATL6TCVBLKWW,Thermal Covers,Atlantic 6 Thermal Cover,8,10,39,47,,£21.13,£992.93,5.9,,4.8,0,5.9,4.8,2,3,120,0,121,1,,,,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
COM6TCVBLKWW,Thermal Covers,Como 6 Thermal Cover,29,29,117,111,,£20.74,"£2,302.19",3.8,,3.8,0,3.8,3.8,4,4,60,100,260,100,,,,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
GAR4TCVBLKWW,Thermal Covers,Garda 4 Thermal Cover,13,7,30,0,,£19.48,£0.00,0.0,0,0.0,0,0.0,0.0,8,8,54,80,134,0,,,,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
GAR6TCVBLKWW,Thermal Covers,Garda 6 Thermal Cover,23,16,65,0,,£20.75,£0.00,0.0,31,0.0,70,1.7,2.4,6,6,0,120,270,80,,,,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
PAC4TCVBLKWW,Thermal Covers,Pacific 4 Thermal Cover,17,12,49,25,,£20.02,£500.48,1.4,,2.1,0,1.4,2.1,7,6,60,100,160,0,,,,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
PAC6TCVBLKWW,Thermal Covers,Pacific 6 Thermal Cover,18,19,75,83,,£20.76,"£1,722.78",4.5,,4.4,0,4.5,4.4,3,4,200,60,261,1,,,,,YES,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
TAH4TCVBLKWW,Thermal Covers,Tahoe 4 Thermal Cover,6,5,20,8,,£19.53,£156.23,1.3,,1.6,0,1.3,1.6,7,6,0,40,40,0,,,,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
TAH6TCVBLKWW,Thermal Covers,Tahoe 6 Thermal Cover,6,6,25,60,,£20.99,"£1,259.21",9.6,,9.8,0,9.6,9.8,,,0,0,0,0,,,,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
,,Thermal Covers Total,136,117,468,501,,,,4,31,4,70,4,5,,,536,600,"1,700",494,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
FILCOV24WW,Spa Covers,Filter Cover WW,0,,,90,£12.99,£0.06,£5.45,90,,90,0,90,90.0,,,0,0,0,,,,,,,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X,X
5054487654039,Spa Covers,Spa Cover For Pacific 4 - Green Colour Cover,0,,,13,£14.99,£8.66,£112.58,13,0,13,0,13,13.0,,,0,0,0,,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",clearance,,,✓,✓,✓,X,✓,✓,X,X,X,X,X,X,X,X
5054487648342,Spa Covers,Spa Cover For Swift 6 Rattan,2,,,10,£14.99,£26.03,£260.30,7,,10,0,7,10.0,1,,0,0,0,,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",clearance,,,✓,✓,✓,X,✓,✓,X,X,X,X,X,X,X,X
5054487647499,Spa Covers,Spa Cover For Pacific 4 Spa - Black Colour Cover,1,,,32,£14.99,£9.43,£301.78,64,0,32,0,64,32.0,,,0,0,0,,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",clearance,,,✓,✓,X,X,✓,✓,X,X,X,X,X,X,X,X
5054487647444,Spa Covers,Spa Cover For Atlantic Plus 6 Blue,2,,,9,£14.99,£6.51,£58.59,5,,9,0,5,9.0,4,,0,0,0,,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",clearance,,,✓,✓,✓,X,✓,✓,X,X,X,X,X,X,X,X
TAH4COVWW,Spa Covers,4 Person Round Tahoe Extra Thick Spa Cover WW,0,,,23,£89.99,£26.18,£602.08,23,0,23,16,39,39.0,,,0,0,16,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
GAR4COVWW,Spa Covers,4 Person Square Garda Extra Thick Spa Cover WW,0,,,26,£89.99,£36.10,£938.60,26,0,26,0,26,26.0,,,0,0,1,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
COM6COVWW,Spa Covers,6 Person Octagon Como Extra Thick Spa Cover WW,0,,,58,£109.99,£17.35,"£1,006.34",58,0,58,0,58,58.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
TAH6COVWW,Spa Covers,6 Person Round Tahoe Extra Thick Spa Cover WW,0,,,26,£109.99,£24.32,£632.33,26,,26,16,42,42.0,,,0,0,16,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
GA6XTSCWW,Spa Covers,6 Person Square Garda Extra Thick Spa Cover WW,0,,,9,£109.99,£32.28,£290.52,9,0,9,0,9,9.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
ADR6CVRWW,Spa Covers,Adriatic 6P Square Frame Spa Cover,0,,,8,£109.99,£8.10,£64.81,8,0,8,0,8,8.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
AEG6COVDGRYWW,Spa Covers,Aegean Octagonal 6 Person Spa Cover Dark Grey,0,,,22,£54.99,£12.88,£283.36,22,0,22,0,22,22.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
AEG6COVNAVYWW,Spa Covers,Aegean Octagonal 6 Person Spa Cover Navy,0,,,24,£54.99,£13.08,£313.95,24,0,24,0,24,24.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
ATL4COVSLAWW,Spa Covers,Atlantic Round 4 Person Spa Cover - Slate WW,0,,,8,£44.99,£1.75,£14.00,8,0,8,0,8,8.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
ATL4COVDGRYWW,Spa Covers,Atlantic Round 4 Person Spa Cover Dark Grey,0,,,14,£44.99,£8.64,£120.96,14,0,14,0,14,14.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
ATL4COVSAGWW,Spa Covers,Atlantic Round 4 Person Spa Cover Sage,0,,,9,£44.99,£14.09,£126.81,9,0,9,0,9,9.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
ATL6COVSLAWW,Spa Covers,Atlantic Round 6 Person Spa Cover - Slate WW,0,,,11,£54.99,£1.95,£21.45,11,0,11,0,11,11.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
ATL6COVNAVWW,Spa Covers,Atlantic Round 6 Person Spa Cover Navy WW,0,,,18,£54.99,£15.59,£280.62,18,0,18,0,18,18.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
ATL6COVSAGWW,Spa Covers,Atlantic Round 6 Person Spa Cover Sage Green,0,,,10,£54.99,£19.59,£195.90,10,0,10,0,10,10.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
PAC4COVSLAWW,Spa Covers,Pacific Square 4 Person Spa Cover - Slate WW,0,,,7,£44.99,£1.76,£12.32,7,0,7,0,7,7.0,1,1,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
PAC4COVDGRYWW,Spa Covers,Pacific Square 4 Person Spa Cover Dark Grey,0,,,29,£44.99,£12.82,£371.78,29,0,29,0,29,29.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
PAC4COVNAVWW,Spa Covers,Pacific Square 4 Person Spa Cover Navy,0,,,30,£44.99,£12.77,£383.10,30,0,30,0,30,30.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
PAC6COVDGRYWW,Spa Covers,Pacific Square 6 Person Spa Cover - Dark Grey,0,,,25,£54.99,£16.09,£402.25,25,0,25,0,25,25.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
PAC6COVSLAWW,Spa Covers,Pacific Square 6 Person Spa Cover - Slate WW,0,,,16,£54.99,£1.84,£29.44,16,0,16,0,16,16.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
PAC6COVNAVWW,Spa Covers,Pacific Square 6 Person Spa Cover Navy,0,,,23,£54.99,£17.94,£412.62,23,0,23,0,23,23.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
PAC6COVSAGWW,Spa Covers,Pacific Square 6 Person Spa Cover Sage Green,0,,,9,£54.99,£19.00,£171.00,9,0,9,0,9,9.0,,,0,0,0,,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
,,Spa Covers Total,4,0,,559,,,,140,0,559,32,148,591,,,0,0,33,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SUBLED25WW,Lights,LED Float Light,17,12,46,341,£29.99,£6.12,"£2,087.52",20.1,,29.4,0,20.1,29.4,,,0,0,0,0,,"Promo/ Push Marketing, include post purchase off?",,,YES,✓,✓,X,✓,✓,X,X,X,X,X,X,X,X,X
LED6MUK,Lights,LED Light Strip - 6m,3,2,8,37,£64.99,£20.99,£776.63,13.5,,18.5,0,13.5,18.5,,,0,0,0,0,,"Promo/ Push Marketing, include post purchase off?",,,YES,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
89242 ,Lights,Govee Outdoor RGBICWW Strip Light Pro - 10M,0,,,0,£79.99,,,0.0,0,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
1STEPDRWWW,Steps,Spa Steps,10,4,15,37,£79.99,£18.92,£700.04,3.9,,9.6,0,3.9,9.6,4,,50,0,51,1,,"Promo/ Push Marketing, include post purchase off?",,,YES,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
REPKITRATWW,Spa Repair Kit,Repair Kit - Rattan,0,,,10,£59.99,£0.02,£0.20,10.0,,10.0,0,10.0,10.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
24HOSADAPWW,Hose Adapter,Garden Hose Adapter WW,0,,,390,£3.99,£0.01,£4.64,390.0,,390.0,0,390.0,390.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
24HSTOPWW,Hair Stopper,Hair Stopper WW,0,,,373,£3.99,£0.05,£20.36,373.0,,373.0,0,373.0,373.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
24DPLUGWW,Drain Plug,Drain Plug WW,0,,,326,£3.99,£0.01,£2.92,326.0,,326.0,0,326.0,326.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5054487652066,Bubble Mat,Pacific Spa Bubble Mat Liner (Grey 120Gsm),0,,,"1,455",£9.99,£1.63,"£2,378.05",1455.0,,1455.0,0,1455.0,1455.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only

CONSOLIDATE",clearance,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
5054487652059,Bubble Mat,Atlantic Spa Bubble Met Liner (Grey 120Gsm) A,0,,,25,£9.99,£1.89,£47.27,25.0,,25.0,0,25.0,25.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only

CONSOLIDATE",clearance,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
5054487652042,Bubble Mat,Atlantic Plus Spa Bubble Mat Liner (Grey 120Gsm) A,0,,,244,£9.99,£2.25,£549.31,244.0,,244.0,0,244.0,244.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only

CONSOLIDATE",clearance,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
